dataset,link,source,category,description,visualization,package,submission_date
Premier League,https://github.com/rfordatascience/tidytuesday/blob/master/data/2023/2023-04-04/readme.md,TidyTuesday,sports,Do some referees call more fouls on the away team?,annotated boxplots,ggplot2,9/7/23
Video Game Sales,https://www.kaggle.com/datasets/ibriiee/video-games-sales-dataset-2022-updated-extra-feat,Kaggle,entertainment,What are the trends in popularity among 3 consoles?,multicolor line plot,ggplot2,9/9/23
Global Smoking Trend,https://www.kaggle.com/datasets/mexwell/us-smoking-trend?resource=download,Kaggle,health,What are tends in the number of smokers over time?,multicolor line plot,matplotlib,9/9/23
GDP Trends,NA,NA,economics,What are trends of GDP per capita over time?,multicolor line plot,ggplot2,9/10/23
UFO Sightings,https://raw.githubusercontent.com/rfordatascience/tidytuesday/master/data/2019/2019-06-25/ufo_sightings.csv,TidyTuesday,other,How are the UFO observations distributed?,map,matplotlib,9/10/23
Spotify Reviews,https://www.kaggle.com/datasets/mfaaris/spotify-app-reviews-2022,Kaggle,entertainment,How does song rating relate to length?,multicolor histogram,seaborn,9/9/23
Iris,https://www.kaggle.com/datasets/uciml/iris,Kaggle,science,How do Iris flower features relate to one another?,faceted scatterplot,matplotlib,9/7/23
FIFA 2023,https://www.kaggle.com/datasets/brenda89/fifa-world-cup-2022,Kaggle,sports,Do teams do better in home games?,multicolor bar plot,matplotlib,9/8/23
Hot Ones Ratings,https://github.com/rfordatascience/tidytuesday/blob/master/data/2023/2023-08-08/readme.md,TidyTuesday,entertainment,Has the spice level changed over seasons?,scatterplot,base R,9/7/23
Hollywood Age Gaps,https://github.com/rfordatascience/tidytuesday/blob/master/data/2023/2023-02-14/readme.md,TidyTuesday,entertainment,Have age gaps between actors changed over time?,line plot,ggplot2,9/7/23
HR Analytics Attrition,https://www.kaggle.com/datasets/pavansubhasht/ibm-hr-analytics-attrition-dataset,Kaggle,economics,"What is the relationship between age, gender, and attribution?",multicolor histogram,ggplot2,9/9/23
Spotify 2023,NA,NA,entertainment,How do song ratings relate to release year?,multicolor boxplot,seaborn,9/7/23
Avocado Prices,https://www.kaggle.com/datasets/neuromusic/avocado-prices?resource=download,Kaggle,economics,What is the spatial variation in avocado sales?,map,Google Sheets,9/8/23
Tornados,https://github.com/rfordatascience/tidytuesday/blob/master/data/2023/2023-05-16/readme.md,TidyTuesday,science,Which states have the most tornados?,barplot,ggplot2,9/8/23
Douban Movie Reviews,https://www.kaggle.com/datasets/utmhikari/doubanmovieshortcomments,Kaggle,entertainment,How do movie ratings change over time?,line plot,matplotlib,9/10/23
Flight Delays,https://www.kaggle.com/datasets/iamsouravbanerjee/airline-dataset,Kaggle,economics,Which countries have the most on-time flights?,line plot,matplotlib,9/10/23
Supermarket Sales,https://www.kaggle.com/datasets/aungpyaeap/supermarket-sales,Kaggle,economics,What are trends in supermarket sales?,multicolor line plot,Google Data Studio,9/11/23
Iris,https://archive.ics.uci.edu/dataset/53/iris,UCI,science,How do Iris flower features vary across species?,scatterplot pairs plot,matplotlib,9/11/23
Energy Consumption,https://ourworldindata.org/explorers/energy?facet=none&country=USA~GBR~CHN~OWID_WRL~IND~BRA~ZAF&Total+or+Breakdown=Total&Energy+or+Electricity=Primary+energy&Metric=Per+capita+consumption,Our World in Data,economics,What countires have the highest energy consumption per capita?,map,NA,9/11/23
Youtube,NA,NA,entertainment,What categories are most watched on youtube?,barplot,ggplot2,9/10/23
Soccer Fouls,https://raw.githubusercontent.com/rfordatascience/tidytuesday/master/data/2023/2023-04-04/soccer21-22.csv,TidyTuesday,sports,Are fouls called more for traveling teams?,multicolor histogram,base R,9/11/23
